liveqa,smallgroups,projects,polls,feedback,express,examples,overall
A moderate amount,Infrequently,Infrequently,Frequently,Infrequently,Very frequently,A moderate amount,Very dissatisfied
Frequently,Very frequently,Very infrequently,Very infrequently,Very frequently,Very frequently,Very frequently,Satisfied
A moderate amount,Infrequently,Very infrequently,A moderate amount,Frequently,Very frequently,Very frequently,Satisfied
Frequently,Very infrequently,Infrequently,Infrequently,A moderate amount,Frequently,Very frequently,Neutral
Frequently,Not applicable to my course,Not applicable to my course,Very infrequently,Very infrequently,Very frequently,Frequently,Satisfied
A moderate amount,A moderate amount,Very infrequently,Very infrequently,Infrequently,Frequently,Frequently,Neutral
Very frequently,Very frequently,A moderate amount,A moderate amount,Infrequently,Very infrequently,Frequently,Dissatisfied
Very frequently,Very frequently,Frequently,Not applicable to my course,Frequently,Very frequently,Frequently,Satisfied
Very frequently,Frequently,Infrequently,A moderate amount,Very frequently,Very frequently,Very frequently,Very satisfied
A moderate amount,Very frequently,Not applicable to my course,Not applicable to my course,Very infrequently,Frequently,Very infrequently,Very dissatisfied
Infrequently,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Very frequently,A moderate amount,Neutral
Frequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very frequently,Very infrequently,Dissatisfied
Infrequently,A moderate amount,Very infrequently,Very infrequently,Infrequently,A moderate amount,A moderate amount,Dissatisfied
A moderate amount,Frequently,A moderate amount,Infrequently,Infrequently,A moderate amount,A moderate amount,Satisfied
A moderate amount,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Frequently,Satisfied
A moderate amount,Frequently,Infrequently,Very infrequently,Infrequently,Infrequently,Infrequently,Dissatisfied
Very frequently,Very frequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Neutral
Very infrequently,Infrequently,Very infrequently,A moderate amount,A moderate amount,A moderate amount,Infrequently,Satisfied
A moderate amount,Frequently,A moderate amount,Infrequently,Frequently,A moderate amount,Frequently,Very satisfied
A moderate amount,Not applicable to my course,Not applicable to my course,A moderate amount,Very frequently,Very frequently,Frequently,Satisfied
Infrequently,A moderate amount,Not applicable to my course,Very infrequently,Frequently,Frequently,A moderate amount,Dissatisfied
Very infrequently,Not applicable to my course,Very infrequently,Infrequently,Very infrequently,A moderate amount,Very infrequently,Very dissatisfied
A moderate amount,Infrequently,Infrequently,Infrequently,A moderate amount,Very infrequently,Very frequently,Very dissatisfied
Very frequently,Very frequently,Frequently,Infrequently,Very frequently,Very frequently,Very frequently,Very satisfied
Infrequently,Frequently,Not applicable to my course,Not applicable to my course,Frequently,Frequently,Frequently,Very satisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very dissatisfied
Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Satisfied
Very frequently,Very frequently,Very frequently,Very infrequently,Very infrequently,Frequently,Very infrequently,Very dissatisfied
Very frequently,Very frequently,Very infrequently,A moderate amount,Very frequently,Very frequently,Very infrequently,Very satisfied
Very frequently,A moderate amount,Not applicable to my course,Very infrequently,Very infrequently,A moderate amount,A moderate amount,Neutral
Very infrequently,Very frequently,Very frequently,Very infrequently,Frequently,A moderate amount,A moderate amount,Dissatisfied
A moderate amount,Infrequently,Not applicable to my course,Very infrequently,Very infrequently,A moderate amount,Very infrequently,Very dissatisfied
A moderate amount,A moderate amount,A moderate amount,Frequently,A moderate amount,Very frequently,Frequently,Satisfied
Infrequently,A moderate amount,Not applicable to my course,Very infrequently,Very infrequently,A moderate amount,Very infrequently,Very dissatisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Not applicable to my course,Not applicable to my course,Neutral
A moderate amount,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very frequently,Very infrequently,Very dissatisfied
A moderate amount,A moderate amount,Frequently,Infrequently,Very frequently,Very frequently,A moderate amount,Satisfied
Very infrequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Infrequently,A moderate amount,Not applicable to my course,Dissatisfied
Infrequently,A moderate amount,Not applicable to my course,Very infrequently,Very infrequently,Very frequently,A moderate amount,Dissatisfied
Frequently,Very frequently,A moderate amount,Frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Very frequently,Infrequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Infrequently,Very frequently,Not applicable to my course,Very infrequently,Frequently,Very frequently,Frequently,Satisfied
Very frequently,Very frequently,Infrequently,Infrequently,Frequently,Very frequently,Very frequently,Satisfied
A moderate amount,Infrequently,Very infrequently,Very infrequently,Very infrequently,Very frequently,Very frequently,Neutral
Very frequently,Very frequently,Infrequently,Frequently,A moderate amount,Very frequently,Very frequently,Satisfied
Very frequently,Very frequently,A moderate amount,A moderate amount,Very infrequently,A moderate amount,A moderate amount,Neutral
A moderate amount,Infrequently,Infrequently,Frequently,Very frequently,Frequently,Very frequently,Neutral
A moderate amount,Frequently,Very infrequently,Frequently,Frequently,Frequently,A moderate amount,Neutral
A moderate amount,Not applicable to my course,Not applicable to my course,Very infrequently,Very frequently,Very frequently,Very infrequently,Satisfied
Frequently,Very frequently,Very infrequently,Very infrequently,Frequently,Very frequently,Infrequently,Satisfied
Very frequently,Very frequently,Very frequently,Infrequently,Infrequently,Very frequently,Very frequently,Dissatisfied
A moderate amount,Frequently,Infrequently,Infrequently,Frequently,Very frequently,Infrequently,Dissatisfied
Frequently,Very frequently,Infrequently,A moderate amount,A moderate amount,A moderate amount,Infrequently,Satisfied
Infrequently,Frequently,Not applicable to my course,Very infrequently,A moderate amount,A moderate amount,Very frequently,Dissatisfied
Infrequently,Very frequently,Not applicable to my course,Frequently,A moderate amount,Frequently,Frequently,Satisfied
Very frequently,Infrequently,Very infrequently,Infrequently,Frequently,Very frequently,Very frequently,Very satisfied
Frequently,A moderate amount,A moderate amount,Frequently,Frequently,Frequently,Frequently,Satisfied
Frequently,Infrequently,Very infrequently,Infrequently,A moderate amount,A moderate amount,Very infrequently,Dissatisfied
Very frequently,Very frequently,A moderate amount,Not applicable to my course,Very frequently,Very frequently,Very frequently,Very satisfied
A moderate amount,A moderate amount,Not applicable to my course,Not applicable to my course,Frequently,Very frequently,A moderate amount,Neutral
Very frequently,Very frequently,Frequently,A moderate amount,Frequently,Frequently,Infrequently,Very satisfied
Infrequently,A moderate amount,Very infrequently,Very infrequently,A moderate amount,Very frequently,Very frequently,Dissatisfied
Very frequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very frequently,Frequently,Dissatisfied
Very frequently,Very frequently,Not applicable to my course,Not applicable to my course,Frequently,Frequently,Very frequently,Very satisfied
A moderate amount,Very frequently,Infrequently,A moderate amount,Frequently,Very frequently,A moderate amount,Very satisfied
A moderate amount,Very frequently,Not applicable to my course,Frequently,Frequently,Very frequently,Infrequently,Neutral
Frequently,A moderate amount,Infrequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
,A moderate amount,Infrequently,Infrequently,Frequently,Frequently,Frequently,Satisfied
Very frequently,Very frequently,,Frequently,Very frequently,Very frequently,A moderate amount,Very satisfied
Frequently,Very frequently,A moderate amount,Not applicable to my course,Frequently,Very frequently,Frequently,Dissatisfied
A moderate amount,Frequently,Very infrequently,Very infrequently,A moderate amount,Very frequently,Infrequently,Satisfied
A moderate amount,A moderate amount,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very dissatisfied
A moderate amount,Very frequently,Frequently,A moderate amount,Frequently,Very frequently,Frequently,Satisfied
Very frequently,Frequently,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Very frequently,Satisfied
Infrequently,Very frequently,Frequently,Very frequently,A moderate amount,Frequently,A moderate amount,Dissatisfied
Frequently,Not applicable to my course,Not applicable to my course,Infrequently,Frequently,Frequently,Frequently,Satisfied
Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
A moderate amount,Very frequently,Frequently,Not applicable to my course,Frequently,A moderate amount,Infrequently,Satisfied
Frequently,Frequently,Infrequently,Very infrequently,Frequently,Frequently,A moderate amount,Satisfied
A moderate amount,Very frequently,Infrequently,Frequently,Very frequently,Very frequently,Frequently,Dissatisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,Very infrequently,Infrequently,Dissatisfied
Very frequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,A moderate amount,Very infrequently,Very dissatisfied
Frequently,Very frequently,Very infrequently,A moderate amount,A moderate amount,Frequently,A moderate amount,Dissatisfied
Very infrequently,Infrequently,Very infrequently,A moderate amount,Very infrequently,Very infrequently,Very infrequently,Dissatisfied
Very frequently,Very frequently,Frequently,Very frequently,Frequently,Very frequently,Very frequently,Very satisfied
Very infrequently,Not applicable to my course,A moderate amount,Not applicable to my course,,Very frequently,Very infrequently,Satisfied
Frequently,Very frequently,Infrequently,Infrequently,Frequently,Frequently,Frequently,Satisfied
Very frequently,Very infrequently,Not applicable to my course,Frequently,Infrequently,Very infrequently,Not applicable to my course,Satisfied
Very infrequently,Frequently,Not applicable to my course,Not applicable to my course,Frequently,A moderate amount,Very frequently,Dissatisfied
Very frequently,Very frequently,A moderate amount,Very infrequently,Infrequently,A moderate amount,Frequently,Very satisfied
Frequently,A moderate amount,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Dissatisfied
Not applicable to my course,Very infrequently,Not applicable to my course,Not applicable to my course,Very infrequently,Frequently,A moderate amount,Dissatisfied
Very frequently,A moderate amount,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Very frequently,Very satisfied
Frequently,Very infrequently,Very infrequently,Very infrequently,Very frequently,Frequently,Frequently,Satisfied
Infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very frequently,Very infrequently,Neutral
A moderate amount,Frequently,A moderate amount,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Very frequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Frequently,Not applicable to my course,Dissatisfied
Very frequently,Very frequently,A moderate amount,Very infrequently,Very frequently,Very frequently,Very frequently,Satisfied
Very frequently,A moderate amount,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Frequently,Very infrequently,Very infrequently,A moderate amount,Very frequently,A moderate amount,Satisfied
Frequently,Very frequently,Infrequently,Infrequently,Very frequently,Very frequently,Frequently,Very satisfied
A moderate amount,Frequently,Infrequently,Infrequently,Very frequently,Very frequently,A moderate amount,Very satisfied
Very frequently,Very frequently,A moderate amount,Very infrequently,Frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Very frequently,A moderate amount,Very infrequently,Frequently,Very frequently,Very frequently,Very satisfied
Very infrequently,Very infrequently,Not applicable to my course,Not applicable to my course,Frequently,Infrequently,Frequently,Dissatisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Not applicable to my course,Satisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Infrequently,Very infrequently,Very dissatisfied
Very frequently,Frequently,Very frequently,Frequently,Very frequently,Very frequently,Very frequently,Very satisfied
A moderate amount,Frequently,Not applicable to my course,Infrequently,Frequently,Very frequently,A moderate amount,Neutral
Infrequently,Frequently,Very infrequently,Infrequently,A moderate amount,A moderate amount,A moderate amount,Dissatisfied
A moderate amount,Infrequently,Infrequently,Frequently,Very frequently,Very frequently,Frequently,Satisfied
Very frequently,Infrequently,Very frequently,A moderate amount,Very frequently,Very frequently,Frequently,Very satisfied
A moderate amount,Frequently,Not applicable to my course,Very frequently,Infrequently,A moderate amount,Frequently,Satisfied
Frequently,Infrequently,Frequently,Not applicable to my course,Not applicable to my course,Frequently,A moderate amount,Satisfied
A moderate amount,A moderate amount,Frequently,Infrequently,A moderate amount,Very frequently,Very frequently,Neutral
A moderate amount,Infrequently,Very infrequently,Frequently,A moderate amount,Very frequently,Very frequently,Very satisfied
Infrequently,Very frequently,Very infrequently,Very infrequently,Very infrequently,Frequently,A moderate amount,Satisfied
Very frequently,Very frequently,Not applicable to my course,A moderate amount,Very frequently,Very frequently,Very frequently,Neutral
Infrequently,Very infrequently,Not applicable to my course,A moderate amount,Very frequently,Very frequently,Frequently,Neutral
Not applicable to my course,Infrequently,Frequently,A moderate amount,Infrequently,Frequently,Very infrequently,Neutral
Frequently,Frequently,A moderate amount,Not applicable to my course,Very frequently,Infrequently,Frequently,Very satisfied
Very frequently,Very frequently,Not applicable to my course,Very infrequently,Very infrequently,Frequently,A moderate amount,Satisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Frequently,Frequently,Satisfied
,,,,,Not applicable to my course,Not applicable to my course,Very satisfied
Frequently,Very frequently,Not applicable to my course,Infrequently,Infrequently,A moderate amount,A moderate amount,Neutral
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very frequently,Very infrequently,Very dissatisfied
Very frequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,A moderate amount,A moderate amount,A moderate amount,Dissatisfied
A moderate amount,Frequently,Frequently,Infrequently,Frequently,Frequently,Infrequently,Dissatisfied
A moderate amount,Very infrequently,Very infrequently,Very infrequently,A moderate amount,Frequently,Infrequently,Neutral
Infrequently,Very infrequently,Infrequently,Very infrequently,A moderate amount,A moderate amount,Frequently,Neutral
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,A moderate amount,A moderate amount,Dissatisfied
Infrequently,Not applicable to my course,Not applicable to my course,A moderate amount,Very frequently,Very frequently,Infrequently,Dissatisfied
Very infrequently,Very infrequently,Not applicable to my course,Very infrequently,Very infrequently,A moderate amount,Very infrequently,Very dissatisfied
Very infrequently,Infrequently,Not applicable to my course,Frequently,Frequently,Frequently,Very frequently,Neutral
A moderate amount,A moderate amount,Not applicable to my course,Very infrequently,Frequently,A moderate amount,A moderate amount,Dissatisfied
Frequently,Frequently,Frequently,Very infrequently,Frequently,Frequently,Frequently,Satisfied
A moderate amount,Not applicable to my course,Not applicable to my course,Very infrequently,Very infrequently,A moderate amount,A moderate amount,Dissatisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very dissatisfied
Very frequently,Frequently,Infrequently,A moderate amount,Very frequently,Very frequently,Frequently,Satisfied
Very frequently,Very infrequently,Not applicable to my course,Very frequently,Frequently,Very frequently,Frequently,Satisfied
A moderate amount,A moderate amount,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Frequently,Very infrequently,A moderate amount,A moderate amount,Frequently,Very frequently,Satisfied
Frequently,Infrequently,A moderate amount,A moderate amount,A moderate amount,Frequently,Frequently,Satisfied
Infrequently,Very frequently,Not applicable to my course,Infrequently,Very frequently,Very frequently,A moderate amount,Neutral
A moderate amount,Frequently,Infrequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Frequently,Frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Frequently,Very satisfied
Very infrequently,,Very infrequently,Not applicable to my course,Frequently,A moderate amount,Not applicable to my course,Very dissatisfied
Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Satisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Frequently,Very frequently,Satisfied
Infrequently,Infrequently,Not applicable to my course,Not applicable to my course,Infrequently,Infrequently,Infrequently,Neutral
Infrequently,Very infrequently,Infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Satisfied
Very frequently,Frequently,A moderate amount,A moderate amount,Very frequently,Very frequently,Very frequently,Satisfied
Frequently,Very frequently,Infrequently,Infrequently,A moderate amount,Frequently,A moderate amount,Very satisfied
Frequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Frequently,Frequently,Very satisfied
Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Not applicable to my course,Very infrequently,Satisfied
Very frequently,Very frequently,Not applicable to my course,A moderate amount,Frequently,Very frequently,Frequently,Neutral
Very infrequently,Infrequently,Not applicable to my course,Infrequently,Very frequently,Very frequently,Frequently,Very satisfied
Very infrequently,Not applicable to my course,Not applicable to my course,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very satisfied
A moderate amount,Very frequently,Infrequently,Very infrequently,A moderate amount,Frequently,Frequently,Satisfied
A moderate amount,Infrequently,Very infrequently,Very infrequently,,Frequently,Very frequently,Very satisfied
Very infrequently,,Very infrequently,Not applicable to my course,Frequently,A moderate amount,Not applicable to my course,Very dissatisfied
Frequently,Infrequently,Very infrequently,Very infrequently,A moderate amount,A moderate amount,A moderate amount,Neutral
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very dissatisfied
Very frequently,Very frequently,Infrequently,A moderate amount,A moderate amount,Infrequently,Very frequently,Very satisfied
A moderate amount,Very frequently,Not applicable to my course,Very frequently,Very frequently,Very frequently,Very frequently,Satisfied
Not applicable to my course,Very frequently,Not applicable to my course,Not applicable to my course,Very frequently,A moderate amount,Very frequently,Satisfied
Frequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,Very frequently,A moderate amount,Dissatisfied
A moderate amount,Very frequently,Frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Very frequently,Very infrequently,Infrequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Very frequently,Not applicable to my course,A moderate amount,Very frequently,Very frequently,A moderate amount,Very satisfied
A moderate amount,Not applicable to my course,Not applicable to my course,Very infrequently,Very infrequently,Frequently,Frequently,Satisfied
Very infrequently,Very infrequently,Not applicable to my course,Very infrequently,Infrequently,Frequently,Very infrequently,Very dissatisfied
Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Satisfied
Frequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,A moderate amount,A moderate amount,Neutral
Frequently,Very frequently,Very frequently,Infrequently,Very frequently,Very frequently,Very frequently,Neutral
A moderate amount,A moderate amount,Not applicable to my course,Very frequently,Frequently,Frequently,Frequently,Satisfied
Very infrequently,Frequently,Not applicable to my course,Not applicable to my course,A moderate amount,Frequently,Very frequently,Satisfied
Very frequently,A moderate amount,Not applicable to my course,Not applicable to my course,Infrequently,Very infrequently,A moderate amount,Neutral
Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,A moderate amount,Not applicable to my course,Not applicable to my course,Infrequently,Frequently,Very infrequently,Very satisfied
Frequently,Very frequently,A moderate amount,Very infrequently,Frequently,Very frequently,Frequently,Satisfied
Very frequently,Very frequently,Very frequently,Very infrequently,Infrequently,Very frequently,Very frequently,Very satisfied
Frequently,A moderate amount,Very infrequently,A moderate amount,Infrequently,A moderate amount,Frequently,Satisfied
Infrequently,Very infrequently,Not applicable to my course,Not applicable to my course,Infrequently,Infrequently,Infrequently,Satisfied
Very frequently,Very frequently,Very infrequently,Not applicable to my course,A moderate amount,Very frequently,Very frequently,Satisfied
Very frequently,Very frequently,Not applicable to my course,Very frequently,Frequently,Very frequently,Very frequently,Satisfied
Very infrequently,Frequently,A moderate amount,Very infrequently,Very infrequently,A moderate amount,Very infrequently,Dissatisfied
Infrequently,Very infrequently,Very infrequently,A moderate amount,A moderate amount,A moderate amount,Infrequently,Neutral
Very frequently,A moderate amount,Not applicable to my course,Very infrequently,Infrequently,A moderate amount,Very frequently,Neutral
A moderate amount,Frequently,Infrequently,Very infrequently,A moderate amount,Frequently,Infrequently,Satisfied
Frequently,Very infrequently,Very infrequently,Very infrequently,Infrequently,A moderate amount,Very infrequently,Dissatisfied
A moderate amount,Very frequently,Not applicable to my course,Not applicable to my course,Infrequently,Infrequently,Very infrequently,Dissatisfied
A moderate amount,Infrequently,Not applicable to my course,Frequently,Infrequently,Frequently,Very frequently,Satisfied
A moderate amount,Very frequently,A moderate amount,Infrequently,Frequently,Very frequently,Frequently,Satisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,A moderate amount,Infrequently,Very infrequently,Very dissatisfied
A moderate amount,Not applicable to my course,Not applicable to my course,A moderate amount,Very infrequently,Very frequently,A moderate amount,Satisfied
Frequently,Very frequently,Not applicable to my course,Very infrequently,Very infrequently,Infrequently,A moderate amount,Very dissatisfied
Very infrequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,Infrequently,Infrequently,Satisfied
Infrequently,Very infrequently,Very infrequently,Frequently,Infrequently,Very frequently,Frequently,Dissatisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,Very infrequently,Very infrequently,Dissatisfied
Very frequently,Very frequently,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Not applicable to my course,Very satisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Frequently,Dissatisfied
A moderate amount,Frequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Very satisfied
Infrequently,Very infrequently,Very infrequently,Not applicable to my course,Frequently,Frequently,A moderate amount,Satisfied
Very frequently,Very infrequently,Very infrequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
A moderate amount,Frequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Very satisfied
Frequently,A moderate amount,Very infrequently,Very infrequently,Frequently,Very frequently,Frequently,Satisfied
A moderate amount,Not applicable to my course,Not applicable to my course,Very infrequently,Very frequently,Very frequently,Frequently,Very satisfied
Very frequently,Very frequently,Not applicable to my course,A moderate amount,Frequently,Very frequently,A moderate amount,Satisfied
Very frequently,Frequently,Infrequently,A moderate amount,Infrequently,Very frequently,Very frequently,Satisfied
Very infrequently,,Very infrequently,Not applicable to my course,Frequently,A moderate amount,Not applicable to my course,Very dissatisfied
Very frequently,Not applicable to my course,Very infrequently,Very infrequently,Very infrequently,Very frequently,Very frequently,Dissatisfied
Infrequently,A moderate amount,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Very dissatisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Dissatisfied
